"","dev","ntrees","tc","lr"
"1",0.00245747047112062,5000,1,0.001
"2",0.00238046692999029,5000,1,0.005
"5",0.00238180618048022,5000,2,0.001
"6",0.00227643619936995,5000,2,0.005
"7",0.00227734609252548,5000,3,0.001
"8",0.0022275556028796,5000,3,0.005
"9",0.00217667450707659,5000,4,0.001
"10",0.00218686156837021,4600,4,0.005
"11",0.00214395730002971,5000,5,0.001
"12",0.00233114732329469,900,5,0.005
"13",0.00211381666679691,5000,6,0.001
"14",0.00229158685902968,1500,6,0.005
"15",0.00210954810610204,5000,7,0.001
"16",0.00237850706281189,900,7,0.005
"17",0.0021030227900662,5000,8,0.001
"18",0.002409379320785,900,8,0.005
"19",0.00208496416619612,5000,9,0.001
"20",0.00237850725899476,900,9,0.005
"3",0.00207670471901371,5000,10,0.001
"4",0.00255006950694372,1050,10,0.005
